,ele_n,5h30m,6h,6h30m,7h,7h30m,8h,8h30m,9h,9h30m,10h,10h30m,11h,11h30m,12h,12h30m,13h,13h30m,14h,14h30m,15h,15h30m,16h,16h30m,17h,17h30m,18h,18h30m,19h,19h30m,20h,20h30m,21h,21h30m,22h,22h30m,23h,23h30m,24h,24h30m,finedust,co2,hcho,co,culture_,lift_,meeting_,transspace_,biycle_,ele_,trainreserve_,issuer_,kiosk_,nursing_,temp,wind,rain,popluation,line_1,line_2,line_3,line_4,line_5,line_6,line_7,line_8,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,passenger
0,3.0,10.5,17.0,18.0,20.5,34.2,39.5,27.5,18.4,14.0,12.0,13.6,12.9,12.1,15.4,12.3,12.0,10.7,12.8,12.0,11.6,9.9,13.1,14.6,17.6,17.2,21.6,14.8,9.7,6.9,6.0,6.5,6.0,6.1,6.7,5.5,4.4,3.2,1.5,1.5,96.3,476.0,10.1,0.5,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,23.2,3.3,1,153684,0,0,1,0,0,0,0,0,0,1,0,0,0,0.09691155316380975
1,3.0,22.1,23.5,31.9,45.2,69.8,106.3,85.9,78.6,69.2,47.4,51.1,46.4,42.5,42.4,49.8,45.9,49.1,40.8,45.8,53.7,56.6,63.4,66.5,86.6,86.7,128.0,112.4,72.5,57.4,54.1,44.1,48.3,45.0,46.9,39.6,29.0,19.2,12.7,3.0,83.8,649.0,8.6,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,23.2,3.3,1,153684,0,0,0,0,0,0,0,1,0,1,0,0,0,0.08451535626887655
2,3.0,51.3,34.9,39.4,60.0,80.3,102.6,91.3,71.9,65.9,49.3,38.5,38.4,36.6,34.0,37.6,35.0,34.9,31.3,31.7,29.5,32.7,33.5,37.3,46.7,44.5,57.3,51.2,41.6,33.1,27.1,25.5,26.8,23.5,24.2,21.1,21.4,14.4,11.4,7.1,79.1,560.0,19.7,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.9,1.8,1,131450,0,0,0,0,0,0,1,0,1,0,0,0,0,0.5414782593745164
3,2.0,28.7,18.5,20.4,23.6,37.2,52.0,46.1,35.6,33.5,31.0,32.8,34.6,44.8,49.2,48.3,54.8,59.9,56.1,61.1,81.9,79.8,88.9,86.0,118.2,105.7,130.3,125.4,96.8,74.0,63.0,66.3,83.3,89.4,108.8,81.4,57.3,32.2,29.8,17.1,78.2,736.0,24.3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.9,1.8,1,131450,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0
4,2.0,12.7,30.9,21.4,20.6,30.6,43.6,33.7,25.3,30.9,33.3,27.1,25.1,27.7,25.6,28.0,33.0,27.8,31.5,32.5,39.2,39.9,44.3,50.2,64.1,64.4,87.6,94.9,71.5,52.9,59.1,57.4,55.6,54.0,58.1,53.8,39.2,34.7,23.3,12.0,72.1,633.0,14.8,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,3.8,1,352592,0,0,0,0,0,0,1,0,1,0,0,0,0,0.19912430009914664
5,4.0,16.9,21.3,30.6,40.3,59.4,70.0,58.7,62.5,44.6,40.9,30.1,34.9,26.4,33.6,26.9,33.2,25.0,28.0,22.6,28.0,23.9,33.7,32.1,46.9,30.8,34.6,33.1,28.5,21.1,18.8,15.4,18.0,16.4,19.6,15.5,16.0,10.3,3.0,2.6,82.60497925311203,559.49377593361,12.681742738589211,0.976763485477178,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,23.0,3.8,1,352592,0,0,0,0,1,0,0,0,0,0,0,1,0,0.20893580684169202
6,4.0,8.6,13.9,12.4,14.5,18.9,27.7,25.5,24.7,24.1,21.6,21.7,22.5,20.0,21.6,24.1,27.3,28.4,24.4,31.6,38.5,35.7,42.8,52.6,64.6,63.2,79.4,104.3,77.5,53.4,51.5,43.8,53.9,40.4,50.0,44.2,35.4,22.1,20.2,8.6,71.5,602.0,8.4,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,23.2,3.3,1,153684,0,0,0,0,0,0,0,1,0,1,0,0,0,0.11628240175598462
8,3.0,16.7,15.1,19.0,28.1,42.7,45.3,40.9,39.1,27.6,22.7,21.1,18.5,17.4,20.9,19.4,19.2,16.8,15.2,14.6,17.2,16.0,20.9,26.7,23.8,16.4,22.5,17.8,15.5,11.1,9.7,9.7,10.8,8.5,9.3,6.9,7.0,2.8,0.0,1.7,82.60497925311203,559.49377593361,12.681742738589211,0.976763485477178,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.2,3.3,1,153684,0,0,0,0,1,0,0,0,0,1,0,0,0,0.03731467313125756
9,1.0,2.8,1.6,1.3,1.2,2.6,4.8,2.9,1.2,1.4,1.3,1.6,1.5,1.8,1.8,2.3,2.4,2.4,2.5,2.7,2.9,3.3,3.4,4.1,4.2,4.9,5.6,5.8,4.5,3.4,3.6,4.2,3.9,4.1,4.3,4.2,3.6,2.6,2.3,1.6,68.2,616.0,8.9,0.9,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,23.0,3.8,1,352592,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0679813627220054
10,1.0,10.8,7.3,10.7,14.2,22.4,22.7,19.8,14.1,13.4,10.1,10.8,8.0,8.9,9.2,9.9,8.1,8.8,7.0,6.7,7.2,8.1,8.8,13.0,11.8,8.3,10.7,8.4,5.7,4.6,3.5,4.4,4.2,3.3,3.2,2.7,2.4,1.2,0.0,0.8,65.6,433.0,9.3,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,23.7,1.9,1,537338,0,0,0,0,1,0,0,0,0,1,0,0,0,0.053928900962238305
