no,date,line,s_no,name,05in,06in,07in,08in,09in,10in,11in,12in,13in,14in,15in,16in,17in,18in,19in,20in,21in,22in,23in,05out,06out,07out,08out,09out,10out,11out,12out,13out,14out,15out,16out,17out,18out,19out,20out,21out,22out,23out
90041,2021-06-11,3,340,3가락시장,76,252,745,869,571,425,424,428,492,465,527,613,835,1179,468,324,253,282,32,21,194,439,1279,569,424,396,386,331,463,494,535,654,932,596,379,305,353,179
90403,2021-06-11,8,2818,8가락시장,84,221,396,474,297,324,300,334,355,399,499,549,693,1183,427,332,370,383,78,90,256,537,1562,640,439,355,340,337,382,335,432,484,810,483,310,274,262,167
90361,2021-06-11,7,2748,가산디지털단지,231,370,862,974,617,678,870,1208,1369,1519,1913,2809,8337,13993,5130,2421,2002,1502,345,214,1028,5112,16984,9377,2193,1320,1197,1169,1030,971,968,1138,1542,1075,481,425,451,254
89923,2021-06-11,2,222,강남,192,573,1481,2375,1777,1741,2309,2912,3453,3637,4759,5695,9012,13388,7709,5384,7563,8670,1177,421,1907,6071,13075,11690,5301,3560,3073,4156,3696,3445,4037,5096,8213,4714,1581,1263,1529,570
90329,2021-06-11,7,2732,강남구청,45,117,268,381,292,321,368,443,493,742,853,1103,1761,3541,1989,1079,1191,1149,179,68,518,1251,4547,3805,1442,776,635,721,589,554,533,676,812,462,277,225,206,114
90175,2021-06-11,5,2549,강동,388,769,2231,2816,1265,763,682,792,676,743,830,897,1647,1703,731,522,387,415,114,59,399,1125,1947,1003,588,472,575,678,640,657,858,1277,2068,1496,814,791,963,674
90393,2021-06-11,8,2813,강동구청,179,405,1252,1653,774,464,373,396,433,417,401,562,679,1169,424,231,217,221,39,36,211,588,1381,519,386,285,341,407,410,453,617,846,1323,930,533,447,567,277
89907,2021-06-11,2,214,강변(동서울터미널),299,1123,3271,4187,2482,1592,1462,1326,1422,1379,1464,1508,2044,2430,1628,1273,1031,727,187,68,616,796,1642,1279,1104,991,1181,1315,1419,1800,2045,3030,4769,3112,1687,1400,1934,660
90201,2021-06-11,5,2562,강일,58,214,490,532,293,157,136,138,141,114,124,206,188,197,78,46,29,25,10,14,60,120,168,88,67,83,99,85,92,106,184,276,440,486,243,217,238,109
90195,2021-06-11,5,2559,개롱,135,338,1029,837,401,280,234,315,253,247,293,432,497,588,268,166,146,117,24,35,105,331,689,313,199,228,197,267,284,286,380,522,765,780,340,302,451,176
90101,2021-06-11,5,2512,개화산,145,280,912,773,358,259,226,231,240,238,246,249,373,526,159,126,99,73,26,14,115,220,520,213,167,159,173,206,203,272,277,372,581,581,353,289,357,194
90197,2021-06-11,5,2560,거여,170,467,1431,1244,572,412,365,378,366,353,397,593,602,636,240,193,175,122,32,18,232,333,769,408,225,213,367,317,378,429,478,602,952,918,366,413,587,218
89903,2021-06-11,2,212,2건대입구,410,741,2055,3419,2111,1154,1086,1174,1220,1229,1440,1690,2278,3039,2043,1799,2826,3308,509,73,693,986,2592,1789,1208,1225,1349,1539,1669,1816,2245,3472,6028,3855,1841,1607,1864,1013
90323,2021-06-11,7,2729,7건대입구,107,147,483,736,520,415,471,436,507,584,730,773,1209,1251,764,954,832,942,256,28,242,665,1365,935,634,502,591,586,598,584,617,989,1556,975,464,353,359,259
89997,2021-06-11,3,317,경복궁(정부서울청사),97,196,542,733,694,517,540,609,795,962,1145,1472,2225,3788,1314,962,1115,965,110,58,526,1778,4308,1929,1048,811,739,751,765,667,707,974,1251,804,343,313,390,136
90043,2021-06-11,3,341,경찰병원,88,277,882,976,520,352,346,299,307,332,345,399,649,908,267,179,174,150,24,8,87,348,1236,525,326,245,281,301,305,328,311,567,825,584,371,279,329,184
90183,2021-06-11,5,2553,고덕,132,458,1233,1052,580,418,414,379,358,510,506,673,701,674,323,309,268,237,67,49,204,574,760,422,327,344,333,406,409,455,490,641,1111,1015,462,371,424,293
90269,2021-06-11,6,2641,고려대(종암),113,256,792,996,486,278,287,301,416,339,357,583,763,736,327,221,277,244,65,35,140,433,1110,394,232,233,253,322,267,270,368,450,784,636,328,319,419,254
90019,2021-06-11,3,329,3고속터미널,147,250,900,1364,1531,1338,1671,1910,2176,2653,2897,3270,4229,4549,3547,3923,2729,1722,431,110,929,1473,2486,3056,2502,2746,2643,2725,2800,3082,3186,3962,5423,3185,1499,1068,1017,394
90337,2021-06-11,7,2736,7고속터미널,45,103,351,611,628,675,690,732,689,870,1214,1343,2083,1925,1119,1025,1112,929,214,93,859,1474,2063,1213,816,686,704,847,705,572,530,681,934,568,282,276,255,77
90137,2021-06-11,5,2530,5공덕,69,223,861,1175,500,384,483,531,548,587,634,806,1600,2916,946,559,743,766,132,40,251,1320,3456,1562,655,494,445,469,464,525,600,973,1849,898,399,303,383,226
90241,2021-06-11,6,2627,6공덕,158,261,821,1156,675,562,578,677,680,818,922,1172,2058,3631,1342,910,968,963,218,66,383,1501,4112,1913,857,612,579,615,608,566,735,1029,1593,991,486,435,566,333
90301,2021-06-11,7,2718,공릉(서울과학기술대),211,526,1480,1644,797,525,462,553,613,583,726,663,704,875,471,476,364,410,91,36,145,506,887,592,462,414,479,513,478,585,708,958,1600,1377,668,536,736,442
90171,2021-06-11,5,2547,광나루(장신대),178,650,1666,1772,917,564,518,538,490,618,631,715,851,1114,546,329,350,314,74,41,258,575,1165,602,406,412,479,498,496,574,687,944,1478,979,601,503,679,303
90365,2021-06-11,7,2750,광명사거리,786,1204,3364,3783,1788,960,885,929,903,871,931,1098,1273,1289,791,585,480,470,104,165,374,616,1108,807,690,752,860,928,1002,1146,1445,2017,3400,2587,1247,1108,1219,669
90145,2021-06-11,5,2534,광화문(세종문화회관),36,111,350,528,458,461,730,821,1020,1195,1457,2059,3617,8214,2412,1422,1817,1439,246,26,958,3043,10634,4129,1367,1298,946,1137,903,785,841,1059,1570,679,263,206,226,102
90237,2021-06-11,6,2625,광흥창(서강),96,272,734,1019,493,326,358,376,347,409,465,463,791,1224,507,271,312,314,66,41,164,644,1500,612,351,277,299,325,325,365,380,535,892,628,330,285,427,169
89925,2021-06-11,2,223,2교대(법원.검찰청),82,425,994,1329,994,989,1158,1308,1483,2024,2088,2486,3917,6149,2497,1674,2133,2217,300,248,922,2336,6688,5488,2585,2008,1732,2121,1847,1735,1742,2128,2814,1626,691,692,852,339
89943,2021-06-11,2,232,구로디지털단지,1327,2025,5329,7395,4156,2069,1828,2006,2190,2038,2235,2689,5345,10110,4071,2174,1904,1968,349,196,776,3550,11135,5845,2162,1530,1576,1846,1673,2231,2570,3847,6564,4805,2684,2487,3465,1554
90219,2021-06-11,6,2616,구산,168,425,1188,1439,646,382,343,303,321,309,321,473,378,377,197,141,130,137,33,7,65,300,300,165,142,193,194,256,242,324,379,451,807,671,310,297,295,180
89905,2021-06-11,2,213,구의(광진구청),448,927,2715,4545,2372,1033,883,842,841,802,855,1017,1345,1791,746,548,616,678,192,46,337,613,1586,825,670,584,707,804,915,1169,1279,1945,3692,2442,1350,1326,1703,698
89983,2021-06-11,3,310,구파발,358,1192,3449,3132,1420,899,828,887,720,738,897,1129,1217,1086,660,463,497,364,73,55,333,854,987,743,644,611,702,812,840,841,1055,1537,2272,2437,1176,940,1105,867
90167,2021-06-11,5,2545,5군자(능동),247,417,1370,1875,773,416,379,404,428,356,425,458,731,981,504,367,459,492,118,25,187,285,1004,619,305,326,406,432,467,467,662,1069,2107,1361,663,626,761,525
90319,2021-06-11,7,2727,7군자(능동),288,542,1374,2336,1451,607,569,555,573,550,609,691,948,1276,672,504,629,653,140,30,195,372,1180,695,407,345,381,395,437,558,635,975,1720,1232,718,576,615,427
90385,2021-06-11,7,2760,굴포천,233,565,1528,1517,684,380,373,327,279,311,328,390,428,560,314,224,255,254,101,18,109,195,530,354,242,237,288,327,339,397,490,742,1751,1350,706,499,646,432
90179,2021-06-11,5,2551,굽은다리(강동구민회관앞),255,527,1455,1519,750,476,435,393,456,448,476,490,479,584,306,205,236,188,41,28,91,260,562,371,304,250,414,427,484,472,549,731,1342,910,544,483,670,315
90009,2021-06-11,3,324,금호,171,393,1014,1426,747,439,401,385,350,290,348,363,443,451,275,192,183,177,45,29,88,182,373,241,214,214,267,299,322,463,483,770,1195,777,471,464,527,202
